,min,max,range,median,mean,var,sd,se
0,1.0,12.0,1.0,6.5,6.5,13.0,3.605551275463989,1.0408329997330663
1,1.0,12.0,12.0,6.5,6.5,13.0,3.605551275463989,1.0408329997330663
2,0.0867632279713606,0.563251836920476,0.0867632279713606,0.139078787659518,0.23284430983823523,0.03434857886113552,0.1853336959679365,0.0535012296284982
3,0.0867632279713606,0.563251836920476,0.563251836920476,0.139078787659518,0.23284430983823523,0.03434857886113552,0.1853336959679365,0.0535012296284982
4,7.11,8.51,7.11,8.095,7.928333333333334,0.2725606060606061,0.5220733722960845,0.15070960101594005
5,7.11,8.51,8.51,8.095,7.928333333333334,0.2725606060606061,0.5220733722960845,0.15070960101594005
6,0.0594755244755247,0.938524064171123,0.0594755244755247,0.10057728519037751,0.21512348543377308,0.06241682780508795,0.24983360023241058,0.07212074817339781
7,0.0594755244755247,0.938524064171123,0.938524064171123,0.10057728519037751,0.21512348543377308,0.06241682780508795,0.24983360023241058,0.07212074817339781
8,0.437454545454546,11.8097112299465,0.437454545454546,0.8221191049761515,2.3724813867204317,10.528632425885533,3.244785420622685,0.9366888680295402
9,0.437454545454546,11.8097112299465,11.8097112299465,0.8221191049761515,2.3724813867204317,10.528632425885533,3.244785420622685,0.9366888680295402
10,1.47574,110.22466,1.47574,2.7953099999999997,24.667428333333334,1725.7058987235241,41.54161646738755,11.992031725009197
11,1.47574,110.22466,110.22466,2.7953099999999997,24.667428333333334,1725.7058987235241,41.54161646738755,11.992031725009197
12,3.72932,68.88476,3.72932,6.953799999999999,17.684986666666667,503.2791140126061,22.433883168381843,6.476104243116937
13,3.72932,68.88476,68.88476,6.953799999999999,17.684986666666667,503.2791140126061,22.433883168381843,6.476104243116937
14,0.03682,1.05742,0.03682,0.67445,0.57428,0.1225924336,0.3501320230998587,0.10107440889430584
15,0.03682,1.05742,1.05742,0.67445,0.57428,0.1225924336,0.3501320230998587,0.10107440889430584
16,0.0,1.71089,0.0,0.025885,0.16799416666666667,0.23671665562651517,0.4865353590711729,0.14045066026500647
17,0.0,1.71089,1.71089,0.025885,0.16799416666666667,0.23671665562651517,0.4865353590711729,0.14045066026500647
18,0.06902,4.20308,0.06902,1.0224199999999999,1.1998583333333332,1.2850360845424242,1.1335943209730825,0.3272404931828201
19,0.06902,4.20308,4.20308,1.0224199999999999,1.1998583333333332,1.2850360845424242,1.1335943209730825,0.3272404931828201
