,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
215,13.5,11.0,1.5,1.5,8.0,12.0,5.5,3.0,4.0,8.0,10.0,5.5,8.0,13.5
216,13.5,9.0,6.0,10.0,5.0,4.0,12.0,1.0,2.5,2.5,11.0,8.0,7.0,13.5
217,13.5,5.0,5.0,5.0,12.0,11.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,13.5
218,13.5,5.0,5.0,5.0,12.0,11.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,13.5
219,13.5,7.5,6.0,4.5,4.5,10.0,11.0,12.0,7.5,9.0,2.0,2.0,2.0,13.5
220,13.5,11.0,7.0,9.0,6.0,3.0,4.5,1.0,4.5,2.0,8.0,12.0,10.0,13.5
221,13.5,3.0,6.5,10.0,11.0,12.0,8.5,6.5,8.5,3.0,3.0,3.0,3.0,13.5
222,13.5,2.5,2.5,2.5,7.0,2.5,8.5,10.0,12.0,11.0,8.5,5.5,5.5,13.5
223,13.5,7.0,9.0,7.0,10.0,12.0,11.0,2.0,4.5,7.0,4.5,2.0,2.0,13.5
224,13.5,11.0,9.0,12.0,6.0,5.0,4.0,3.0,1.5,1.5,7.0,10.0,8.0,13.5
225,13.5,7.0,3.5,9.0,10.0,12.0,8.0,3.5,1.0,2.0,6.0,5.0,11.0,13.5
226,13.5,10.0,6.0,10.0,10.0,12.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,13.5
227,13.5,7.5,3.5,7.5,12.0,5.0,10.0,3.5,1.0,2.0,11.0,7.5,7.5,13.5
228,13.5,7.0,2.5,7.0,7.0,7.0,2.5,11.0,10.0,12.0,2.5,7.0,2.5,13.5
229,13.5,12.0,7.5,11.0,5.5,5.5,9.0,2.5,1.0,2.5,7.5,4.0,10.0,13.5
230,13.5,8.5,7.0,2.0,11.0,10.0,12.0,2.0,2.0,5.0,8.5,5.0,5.0,13.5
231,13.5,10.0,12.0,6.0,11.0,3.0,9.0,1.5,4.0,1.5,7.5,5.0,7.5,13.5
232,13.5,10.5,8.0,9.0,7.0,4.5,4.5,1.5,3.0,1.5,10.5,12.0,6.0,13.5
233,13.5,9.0,4.0,7.0,11.5,11.5,10.0,1.5,1.5,3.0,8.0,5.5,5.5,13.5
234,13.5,8.0,10.0,7.0,3.0,5.0,6.0,1.0,3.0,3.0,12.0,9.0,11.0,13.5
235,13.5,7.0,9.0,10.0,11.5,8.0,11.5,1.0,2.5,4.0,5.5,2.5,5.5,13.5
236,13.5,5.0,5.0,5.0,5.0,12.0,11.0,5.0,5.0,10.0,5.0,5.0,5.0,13.5
237,13.5,2.5,6.0,8.5,8.5,11.0,12.0,10.0,2.5,2.5,6.0,2.5,6.0,13.5
238,13.5,7.0,4.0,11.0,6.0,5.0,12.0,2.5,2.5,1.0,9.0,10.0,8.0,13.5
239,13.5,10.5,10.5,7.0,5.0,9.0,2.5,2.5,2.5,2.5,7.0,7.0,12.0,13.5
240,13.5,7.0,4.5,8.5,12.0,8.5,6.0,2.0,1.0,3.0,4.5,10.0,11.0,13.5
241,13.5,3.0,3.0,8.0,3.0,6.0,3.0,12.0,11.0,10.0,8.0,8.0,3.0,13.5
242,13.5,2.5,7.5,4.5,6.0,1.0,12.0,7.5,11.0,9.0,10.0,4.5,2.5,13.5
243,13.5,9.0,4.5,4.5,4.5,4.5,4.5,12.0,11.0,10.0,4.5,4.5,4.5,13.5
244,13.5,5.5,5.5,5.5,5.5,11.0,5.5,12.0,5.5,5.5,5.5,5.5,5.5,13.5
245,13.5,5.5,2.0,2.0,8.0,2.0,5.5,11.0,12.0,10.0,5.5,9.0,5.5,13.5
246,13.5,7.0,8.0,11.0,3.0,2.0,4.0,12.0,10.0,9.0,6.0,5.0,1.0,13.5
247,13.5,6.5,9.0,10.0,11.0,12.0,6.5,8.0,3.0,3.0,3.0,3.0,3.0,13.5
248,13.5,2.5,2.5,2.5,7.0,9.0,7.0,12.0,11.0,10.0,7.0,5.0,2.5,13.5
