,min,max,range,median,mean,var,sd,se
0,1,956,1,478.5,478.5,76241.0,276.1177285144871,8.930285549745877
1,1,956,956,478.5,478.5,76241.0,276.1177285144871,8.930285549745877
2,0,809,0,2.0,10.663179916317992,1802.3555433853974,42.454158140109165,1.3730656014191838
3,0,809,809,2.0,10.663179916317992,1802.3555433853974,42.454158140109165,1.3730656014191838
4,0,453,0,2.0,10.07949790794979,1141.3172336743412,33.78338694794146,1.0926328197243806
5,0,453,453,2.0,10.07949790794979,1141.3172336743412,33.78338694794146,1.0926328197243806
6,0,817,0,2.0,10.693514644351465,1679.1551830270105,40.977496056091695,1.3253069365130765
7,0,817,817,2.0,10.693514644351465,1679.1551830270105,40.977496056091695,1.3253069365130765
8,0,1612,0,2.0,11.182008368200837,4432.0778330302965,66.57385247250076,2.153152265610118
9,0,1612,1612,2.0,11.182008368200837,4432.0778330302965,66.57385247250076,2.153152265610118
10,0,1604,0,2.0,12.013598326359833,4260.030181384039,65.26890669671155,2.110947303011634
11,0,1604,1604,2.0,12.013598326359833,4260.030181384039,65.26890669671155,2.110947303011634
12,0,582,0,2.0,11.803347280334728,1529.881706061469,39.11370228016608,1.2650275378869882
13,0,582,582,2.0,11.803347280334728,1529.881706061469,39.11370228016608,1.2650275378869882
14,0,1188,0,1.0,11.682008368200837,2736.4495607789877,52.31108449247623,1.6918613826355084
15,0,1188,1188,1.0,11.682008368200837,2736.4495607789877,52.31108449247623,1.6918613826355084
16,0,635,0,2.0,10.064853556485355,1311.566470240312,36.21555563898353,1.1712947768287314
17,0,635,635,2.0,10.064853556485355,1311.566470240312,36.21555563898353,1.1712947768287314
18,0,639,0,1.0,9.884937238493723,1444.4495739227584,38.00591498599604,1.229199136289806
19,0,639,639,1.0,9.884937238493723,1444.4495739227584,38.00591498599604,1.229199136289806
20,0,1250,0,2.0,10.348326359832637,2695.3476516462574,51.916737683007945,1.6791072953368427
21,0,1250,1250,2.0,10.348326359832637,2695.3476516462574,51.916737683007945,1.6791072953368427
22,0,2921,0,1.0,10.511506276150628,9663.726569037657,98.30425509120985,3.1793868269255436
23,0,2921,2921,1.0,10.511506276150628,9663.726569037657,98.30425509120985,3.1793868269255436
24,0,1945,0,1.0,10.54602510460251,5434.254423974238,73.71739566733376,2.3841909638857177
25,0,1945,1945,1.0,10.54602510460251,5434.254423974238,73.71739566733376,2.3841909638857177
26,1,963,1,478.5,479.2855648535565,76879.8084196806,277.2720837366802,8.967620065770927
27,1,963,963,478.5,479.2855648535565,76879.8084196806,277.2720837366802,8.967620065770927
